ipm_region,capacity_mw,id,mw
p99,12.0,p99,12.0
p133,30.0,p133,30.0
p131,,p131,
p128,,p128,
p1,,p1,
p10,,p10,
p101,,p101,
p102,,p102,
p103,,p103,
p11,,p11,
p111,,p111,
p123,,p123,
p125,,p125,
p126,,p126,
p127,,p127,
p132,,p132,
p134,,p134,
p37,,p37,
p43,,p43,
p5,,p5,
p58,,p58,
p64,,p64,
p65,,p65,
p66,,p66,
p67,,p67,
p74,,p74,
p75,,p75,
p76,,p76,
p79,,p79,
p80,,p80,
p9,,p9,
p90,,p90,
p91,,p91,
p95,,p95,
p97,,p97,
p98,,p98,
